年月,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
99年3月,2604744,3882039,2638818,1875165,2771291,461783,1982961.0,412850,511852,561622,1311701,530198,721784,273717,546901,881385,232688,340794,96459,387624,94701,10016
99年4月,2603651,3884754,2639962,1875140,2771480,461592,1985209.0,413317,512147,561392,1311188,529767,721121,273639,546386,880550,232491,340705,96455,387207,94911,10010
99年5月,2604150,3885507,2640563,1874794,2771665,461409,1990917.0,413384,511855,561319,1310398,529321,720469,273444,545878,879746,232226,340423,96467,386757,95038,9985
99年6月,2602868,3880743,2639905,1873571,2770682,460604,2017047.0,412893,509802,559921,1308926,528283,718671,272882,544782,878062,231737,339671,96388,385869,95145,9929
99年7月,2605357,3889049,2642677,1874023,2772349,460676,2006213.0,413482,510874,560214,1308676,527940,718231,272833,544374,877109,231421,339659,96436,385532,95409,9926
99年8月,2605309,3892616,2644270,1874033,2772868,460719,2003205.0,414004,511644,560561,1308326,527774,718196,272782,544236,876181,231140,339546,96490,385388,95783,9949
99年9月,2608923,3892603,2645194,1873754,2772777,460679,2002318.0,414323,512097,560557,1307843,527299,718054,272711,543853,875379,230941,339295,96488,384954,96091,9957
99年10月,2613071,3893740,2646481,1873819,2772992,460570,2001537.0,414682,512353,560617,1307500,526911,717915,272523,543738,874696,230832,339092,96711,384590,96622,9931
99年11月,2615613,3896316,2647662,1873919,2773592,460558,2001455.0,415004,512541,560795,1307465,526732,717763,272422,543552,874081,230729,338961,96797,384296,96981,9944
99年12月,2618772,3897367,2648419,1873794,2773483,460486,2002060.0,415344,513015,560968,1307286,526491,717653,272390,543248,873509,230673,338805,96918,384134,97364,9944
100年1月,2622883,3897421,2649311,1873406,2773433,460368,2002424.0,415557,513220,561016,1306789,526179,717131,272320,542832,872893,230513,338634,96926,383680,97733,9959
100年2月,2624791,3897888,2649892,1873176,2772929,460220,2002480.0,415797,513513,560890,1306423,525940,716827,272234,542288,872262,230314,338481,96854,383352,97969,9937
100年3月,2627677,3898230,2651152,1872933,2772834,460036,2002925.0,416191,513838,560802,1305744,525553,716457,272181,541637,871462,230140,338276,96789,382865,98186,9970
100年4月,2630285,3900199,2652435,1873193,2772981,459746,2003618.0,416426,514228,560791,1305243,525286,716101,272218,541148,870567,229949,338048,96676,382551,98641,9991
100年5月,2633044,3901959,2653698,1873368,2772850,459505,2004407.0,416962,514728,560766,1304675,524845,715770,272176,540664,869617,229703,337758,96628,382136,99278,9991
100年6月,2635766,3903745,2655456,1874724,2772461,459349,2005795.0,417335,515044,560813,1304216,524426,715288,272128,540059,868827,229420,337557,96597,381770,99691,10010
100年7月,2637866,3906117,2657253,1875491,2772647,459358,2007536.0,417554,515619,560940,1304097,524126,714876,271994,539667,868138,229199,337382,96658,381321,100248,9991
100年8月,2639064,3908632,2658735,1875637,2772838,459347,2008845.0,417966,516143,561226,1303741,523805,714539,271960,539162,867113,228890,337193,96642,381056,101094,10010
100年9月,2640099,3910086,2659828,1876031,2773157,459332,2010168.0,418534,516650,561295,1303192,523491,714245,271758,538779,866145,228631,336978,96779,380647,102064,10058
100年10月,2643136,3911833,2661290,1876312,2773526,459296,2010987.0,418927,517114,561523,1303054,523176,714078,271644,538436,865515,228454,336885,97007,380501,102827,10084
100年11月,2647122,3913595,2662770,1876706,2773855,459227,2012174.0,419384,517309,561833,1303062,522963,713756,271594,538209,864979,228430,336836,97091,380281,103340,10104
100年12月,2650968,3916451,2664394,1876960,2774470,459061,2013305.0,420052,517641,562010,1303039,522807,713556,271526,537942,864529,228290,336838,97157,379927,103883,10106
